Number,URL,Name,Parsed_Ingredients,Steps
511,https://www.jamieoliver.com/recipes/vegetables-recipes/kerryann-s-cheesy-potato-pie/,Kerryann's cheesy potato pie,"['baked bean', 'mari piper potato king edward', 'butter', 'semi skimmed milk', 'cheddar cheese', 'you want pimp you will need', 'onion', 'garlic', 'tomato']","[""These pimped-up beans are also really tasty served in the classic way, on hot buttered toast.Preheat the oven to 220°C/425°F/gas 7. If I’m short of time, I’ll keep this simple and empty the beans straight into a sturdy 20cm x 30cm baking tray, so they make a flat layer across the bottom, but, to take it a step further, pimp them up first. Finely slice the onion, garlic, peppers and chilli (I leave the seeds in, but deseed if you prefer). Heat a splash of oil in a large pan over a medium heat, then add the chopped veg and thyme leaves and fry for around 8 minutes, or until softened. Dice the tomatoes and add to the pan for another 5 minutes or so, or until jammy and reduced. Pour in the beans and simmer for a final 5 minutes, then season to how you like it and pour into the baking tray in a flat layer.To make the cheesy mash, quarter the potatoes, halving any smaller ones, then put into a pan of boiling salted water. Reduce the heat to medium and cook for 10 to 15 minutes, or until tender. Drain in a colander, then return the empty pan to a low heat, place the colander on top and allow the potatoes to steam dry for a couple of minutes. Tip out any excess liquid from the pan, then tip in the potatoes, add the butter and about 75ml of milk. Mash well until light, fluffy and smooth, adding a splash more milk if needed. Stir in a few gratings of nutmeg, grate in one-third of the cheese and season to how you like it.Layer the cheesy mash on top of the beans, carefully spreading it out to the edges in an even layer, then grate over the remaining cheese (I prefer mature Cheddar, but mild is fine too). Bake for 15 to 20 minutes, or until the beans are hot through, the cheese is melted and golden, and it's bubbling at the edges. Serve with a crisp green salad and homemade coleslaw. This is my fail-safe go-to dish if I’m in need of a bit of naughty comfort food.""]"
512,https://www.jamieoliver.com/recipes/beef-recipes/dj-bbq-s-world-s-best-meatloaf/,DJ BBQ's world's best meatloaf,"['carrot', 'beef mince', 'pork mince', 'garlic', 'old', 'stale', 'egg', 'cheddar cheese', 'bbq', 'tomato', 'tabasco', 'onion']","['Set up your barbecue for the heat canyon technique (place the coals on opposite sides of the barbecue to make two heat walls – this will create sections of hot, direct heat on the sides, with an indirect, cooler area in the middle to ensure your meat gets consistent heat throughout the cook). Place a drip tray inside the middle of the barbecue. Cover with the lid and allow to heat up like an outdoor oven – you want a temperature of around 160°C/320°F.To make your sauce, combine the BBQ sauce and ketchup with a few drops each of Tabasco and chilli sauce, then set aside. Finely dice the onion, pepper and carrot, then put into a large bowl with all the mince, the garlic, bay, Worcestershire sauce, breadcrumbs, salt and pepper. Beat the eggs and add to the mixture, then use your hands to scrunch and mix it all together. Grate in half the cheese (if using), and scrunch to combine.Remove the mixture to a clean work surface and shape into a rectangular loaf (roughly 25cm in length). Using the handle of a wooden spoon, make four diagonal indents (roughly 1cm deep) into the top of the loaf at 3cm intervals, then pour over half the sauce. Place the meatloaf on a big piece of tin foil or in an old roasting tray, then place on the middle of the barbecue. Cover with the lid and cook for 1 hour to 1 hour 15 minutes, or until cooked through. Grate and sprinkle over the remaining cheese (if using), and continue cooking for a minute or so with the lid on, until melted. Remove to a board to rest for around 10 minutes, then slice it up and serve drizzled with the remaining sauce. Cheers, Grandma!']"
513,https://www.jamieoliver.com/recipes/vegetables-recipes/kerryann-s-chilli-con-veggie/,Kerryann’s chilli con veggie,"['onion', 'garlic', 'leek', 'tomato puree', 'lentil', 'lentil', 'kidney bean', 'bean', 'chopped tomato', 'vegetable stock']","['Peel and finely chop the onions and garlic, then trim and finely chop the leek and chilli (I leave the seeds in, but deseed if you prefer), and place into your largest, heavy-based pan over a medium heat with the oil. Fry for about 5 minutes, or until softened. Add the spices, dried herbs and a good grating of nutmeg, then fry for 2 minutes – if it’s a little dry at this point, simply add a splash of water to help it out. Stir in the tomato purée and cook for a further 2 minutes.Stir in the lentils. Drain, rinse and stir in the beans, followed by the chopped tomatoes and the stock (I try to use homemade stock, but if you’ve only got stock cubes, that’s fine too). Bring it all to the boil, then reduce to a low heat and let it bubble away for at least 1 hour, or until thickened and reduced, stirring every 15 to 20 minutes, then season to how you like it. I like this with rice or on a jacket potato, scattered with coriander leaves and with lime wedges and a dollop of soured cream on the side.']"
514,https://www.jamieoliver.com/recipes/pork-recipes/dj-bbq-s-rad-rum-ribs/,DJ BBQ's rad rum ribs,"['back rib membrane', 'paste', 'maple syrup', 'chipotle paste', 'chinese five', 'rad rum bbq', 'garlic', 'tomato', 'rum', 'sugar']","['Combine the paste ingredients and 2 teaspoons of salt in a bowl. Pat the ribs dry with kitchen paper, then place in a tray and rub all over with the paste. Cover with cling film and leave to marinate in the fridge for at least 6 hours, or preferably overnight.When you want to cook, remove the ribs from the fridge, shake off any excess marinade and allow to come up to room temperature. Meanwhile, set up your barbecue for the half and half technique (so half the base is covered in charcoal and the other side is empty) – you want a medium indirect heat. Place a drip tray inside the barbecue on the indirect side. Cover with the lid and allow to heat up like an outdoor oven – you want a temperature of around 180°C/350°F.Rip off just over an arm’s length of extra-strong tin foil, stack up the ribs in the centre and tightly wrap. Place the foil parcel over indirect heat on the barbecue, cover with the lid and cook for around 2 hours, or until the meat is tender and starts to fall away from the bone, remembering to replenish with hot coals every 45 minutes or so. Meanwhile, finely grate the ginger and garlic into a small pan on the hob. Add the rest of the BBQ sauce ingredients and 80ml of water. Simmer over a medium heat for around 20 minutes, or until thickened, stirring occasionally. Season to taste and set aside.Remove the ribs from the foil and brush all over with the BBQ sauce and any cooking juices. Return to the indirect heat for another 30 to 40 minutes with the lid on, or until tender and golden, basting well every 10 minutes or so. Remove to a board to rest for 5 minutes, then carve. Enjoy, ’cause these ribs rule!']"
515,https://www.jamieoliver.com/recipes/fish-recipes/dj-bbq-s-scallops/,DJ BBQ's scallops,"['scallop', 'wine', 'garlic butter', 'salted butter', 'garlic']","['Spread hot coals over the base of your barbecue in a flat and even layer – the scallops are going to be cooked directly on the coals, so it doesn’t matter which barbecue technique you use here.Start by making the chilli garlic butter, which you can do on the barbecue or over a medium heat on the hob – basically, the longer those flavours get to hang out together, the better. Place the oil and butter in a pan to melt. Meanwhile, finely chop the garlic and chilli (keep the seeds in if you like the heat), then add to the pan with the black pepper. Give it a good stir, let all the ingredients party, then set aside.Place the shells with the scallops inside them on a platter, then add a dash of white wine to each one. Using tongs, place each shell directly on the grey coals, carefully positioning them so they can’t tip over. Cover with the lid like an outdoor oven and cook for 4 to 6 minutes, or until cooked through, turning the scallops halfway with tongs. Carefully remove the shells to a serving platter and drizzle about 1 tablespoon of the melted chilli garlic butter over each golden scallop. Roughly chop and scatter over the parsley leaves then serve right away.Tip:  ￼Ask your fishmonger to prep and clean the scallops for you. You’ll be cooking them in their shells, so make sure you ask for these too.']"
516,https://www.jamieoliver.com/recipes/pork-recipes/baleadas/,Baleadas,"['flour', 'garlic', 'onion', 'kidney bean', 'soured cream', 'wine', 'lime', 'topping option', 'chorizo', 'cheddar cheese', 'feta cheese', 'avocado', 'egg']","[""Sift the flour and baking powder into a bowl, add 2 teaspoons of sea salt and make a well in the centre.Pour in 125ml of oil and about 200ml of warm water. Mix with a butter knife until it comes together as a dough, adding a splash more water, if needed.Tip the dough onto a floured work surface and knead for 5 minutes, or until smooth and elastic. Pop it back into the bowl, cover with a tea towel and leave to prove for 1 hour.Pour a lug of oil into a large non-stick frying pan over a medium-low heat. Peel and finely slice the garlic and onion, and add to the pan along with the cumin. Fry for 10 minutes, or until soft and sticky, stirring regularly.Drain the kidney beans and tip into the pan, then turn the heat up to medium. Add the soured cream and a splash of vinegar, season well with salt and black pepper and simmer for 5 minutes, or until the beans have warmed and softened.Roughly mash the beans or blitz in a blender to your desired texture. Return to the pan (if needed) and leave to one side for reheating later.Divide the dough into 12 even pieces and roll them into balls. Flatten each one with your hand, then roll out on a floured surface into a tortilla roughly 2mm thick and 18mm across.Place a large non-stick frying pan over a medium heat to get nice and hot, then dry-fry each tortilla for 1 minute on each side, or until just coloured – you want to make sure they stay soft enough to roll. Keep warm under tin foil while you fry the rest and get your toppings ready.Prep and cook your chosen toppings, as needed – slice and fry the chorizo, coarsely grate the Cheddar, crumble the feta, slice the avocados and dress with lime juice, and fry the eggs to your liking.When you're ready to serve, lay out the toppings. Place the pan of beans over a medium heat for a couple of minutes, or until warmed through, then spread a couple of spoonfuls over each tortilla.Slice the chilli (deseed if you like) and finely chop the coriander. Serve the baleadas with lime wedges in the middle of the table to let everyone build their own. Delicious!""]"
517,https://www.jamieoliver.com/recipes/pork-recipes/roast-pork-leg/,Roast pork leg,"['pork', 'onion', 'flour']","[""Preheat the oven to full whack. Score the pork leg with a sharp knife in a zig-zag pattern. Bash the coriander seeds, peppercorns and 2 teaspoons of sea salt until fine in a pestle and mortar. Add the bay leaves and bash again, then muddle in a lug of oil to form a loose paste. Rub the paste all over the pork, making sure you get it into all the nooks and crannies. Peel and halve the onions, scatter into a large roasting tray and place the scored pork on top. Roast for 35 to 40 minutes, or until you have a lovely crisp crackling, then turn the oven down to 170°C/325ºF/gas 3. Slow-cook the leg for 3.5 hours, or until the meat is easily pulled apart. When the time's up, pick and dress the sage and rosemary leaves with oil and scatter them over the pork. Pop it back into the oven and cook until the herbs are crispy. Remove the leg to board, cover with tin foil and allow to rest while you make the gravy. Place the roasting tray on the hob over a medium heat, add the flour and stir it into the juices so you get a sticky paste. Slowly add a little water until you have a lovely rich sauce. Pour the contents of the tray into a jug or bowl and blitz to a sauce with a stick blender. Return to the pan, pick, finely chop and add the parsley, along with the mustard and stir well. Season to perfectionServe the roast pork with the sauce.""]"
518,https://www.jamieoliver.com/recipes/chicken-recipes/french-style-chicken/,French-style chicken,"['chicken', 'marinade', 'onion', 'garlic', 'wine', 'florentine potato', 'skinned potato', 'garlic', 'wine', 'frisee', 'salad', 'lettuce', 'chive']","[""To make the marinade, peel and finely chop the onion. Peel and smash the garlic, then pick and finely chop the rosemary leaves. Mix together in a large bowl with the bay and vinegar. Set aside.Slash the chicken across each leg about 3 or 4 times – this will allow the heat to penetrate directly into the meat and help it cook faster. Place the chicken in the marinade, rubbing the flavour all over. Cover and leave in the fridge for at least 12 hours.When you're ready to cook, preheat the oven to 190ºC/375ºF/gas 5. Fire up your barbecue.Remove the chicken from the brine and pat dry with kitchen paper, then place in a roasting tray. Halve the lemon and pop it inside the chicken’s cavity with the bay leaves from the brine. Cover with a double layer of tin foil and roast in the oven for 1 hour, or until cooked through.Cut the potatoes into rough 2cm cubes and smash the garlic, leaving the skin on. Pick in the oregano leaves. Toss in a large roasting tray with a good splash of olive oil. Season with sea salt and black pepper and roast alongside the chicken for about 40 minutes, or until lovely and crisp.\n\nAfter an hour, remove the chicken from the oven and finish on the barbecue, or until beautifully golden all over, turning occasionally.\n\nMake the French dressing by shaking up the mustard, extra virgin olive oil, vinegar, and a pinch of sea salt and black pepper, in a jam jar. \n\nPick the inner white leaves from the frisée, discarding the green leaves. Add all the salad greens to a serving bowl, drizzle over the dressing and toss to coat. Serve with the chicken and crispy potatoes.""]"
519,https://www.jamieoliver.com/recipes/fish-recipes/jerk-fish/,Jerk fish,"['bream gutted', 'lime', 'jerk marinade', 'allspice berry', 'muscovado sugar', 'garlic', 'scotch bonnet', 'onion', 'lime', 'golden rum', 'salsa', 'cob', 'mango', 'onion', 'tomato', 'lime']","['Lay the fishes in a shallow oven dish, make three slashes in the flesh of each one with a sharp knife and set aside. For the marinade, pound the allspice berries, peppercorns and bay leaves in a pestle and mortar until fine. Mix in the cloves, sugar and honey.Pick and chop the thyme leaves and chop the coriander leaves. Peel and finely chop the ginger and garlic, and finely chop the chillies.Add the chopped herbs, chillies, garlic and ginger to the marinade and bash it all together, then tip into a jug.Finely slice the spring onions and add the chopped green tops to the jug. Grate in the lime zest and add a drizzle of oil, a pinch of salt and the rum, if using. Mix well. Pour the marinade over the fish and massage it in. (It’s a good idea to wear rubber gloves for this!) Leave in the fridge to marinate for at least 1 hour. Meanwhile, prepare the salsa. Heat a griddle pan until searing hot, and cook the corn cobs for 5 to 10 minutes, turning every minute or two until the corn is evenly charred. Set them aside until they’re cool enough to handle.Peel and chop the mango, finely slice the spring onions and add both to a serving bowl with the reserved white spring onion slices. Chop the coriander and tomatoes, and add to the bowl.Carefully remove the corn kernels from the husk with a sharp knife and add to the serving bowl with the mango. Season to taste, grate in the lime zest and squeeze in the juice. Drizzle in a little olive oil, then toss to combine. Preheat the oven to 220°C/425°F/gas 7. Place the fish in the pre-heated oven and bake for 15 to 20 minutes, until slightly charred and cooked. Serve each fish whole with the salsa on the side, and lime wedges for squeezing over.']"
520,https://www.jamieoliver.com/recipes/game-recipes/wild-boar-burgers/,Wild boar burgers,"['minced boar belly', 'tomato', 'shallot', 'burger bun', 'braeburn apple', 'blue cheese colston bassett stilton']","['Work the mince in a bowl with your hands to break down the fat – this will act as a natural binder and help the mince stick together.Divide the meat into 4, roll each piece into a ball, then flatten to roughly 1cm thick, so they’re slightly larger than the buns (they’ll get thicker as they cook). Pop in the fridge to chill for 30 minutes.When you’re ready to cook, preheat the oven to 120°C/250°F/gas ½.In a small bowl, mix the brown, Worcestershire and tomato sauces together – adding as much or as little of each as you like. Peel, finely chop and stir in the shallots, then set aside.Halve the buns, then pop them on a baking tray and warm in the oven for 8 to 10 minutes.Meanwhile, heat a drizzle of oil in a large non-stick pan over a medium-high heat and fry the burgers for about 4 minutes on each side, or until cooked through, seasoning well as you go.To build your burgers, spread the shallot sauce on the warm bun bases. Slice and add the crisp apple, followed by the burger and a nice piece of blue cheese. Finish with a pinch of watercress, then pop on the lids and serve immediately.']"
521,https://www.jamieoliver.com/recipes/lamb-recipes/spicy-pasties/,Spicy pasties,"['garlic', 'fenugreek', 'curry', 'chicken goat', 'onion', 'chickpea', 'tomato', 'cauliflower', 'pastry', 'flour', 'butter chilled', 'egg brushing over pastry', 'salad', 'carrot', 'lettuce', 'yoghurt', 'lemon']","['Preheat the oven to 200°C/400°F/gas 6. Peel and finely chop the garlic and ginger, then finely chop the chilli.Drizzle the oil into a small frying pan, then add the garlic, chilli and ginger, and fry for about 1 minute, until softening, but not coloured. Add the mustard seeds, fenugreek seeds and curry leaves, and fry for a further 1 to 2 minutes, until the mustard seeds start to pop. Set aside to cool.Cut the meat and onion into 1cm cubes and drain the chickpeas. Finely chop the tomatoes and break the cauliflower into very small florets. Put all the filling ingredients in a large bowl, mix in the cooled spices and a dash of oil, then set aside.For the pastry, sift the flour into a bowl, add a pinch of salt, then rub in the butter with your fingertips. Pour in 150ml water and mix with your hands, squeezing until the pastry comes together. Add more water if needed, but try not to overwork it. Divide the pastry into 8 equal pieces and shape each one into a ball. Dust a clean surface and a rolling pin with flour, then roll out each piece of pastry to the thickness of a pound coin, dusting and turning as you go. Repeat until you have 8 rounds. Place an even amount of filling on one side of each pastry sheet and brush the edges of the pastry with a little beaten egg. Pull the other half of the pastry over, feel where the filling is and use your thumb to press down and seal around the edges. Brush the pasties all over with the beaten egg, place on an oiled baking tray and cook in the hot oven for 30 to 35 minutes, or until golden. Meanwhile, prepare the salad. Scrub the carrots and quarter lengthways. Discard the outer leaves of the lettuce, then cut it into slices.Toss the carrot and lettuce in a bowl. Chop the mint and stir into the yoghurt in another bowl with a pinch of sea salt and black pepper. Squeeze over a little lemon juice. Serve the pasties hot, with the salad and dressing on the side.']"
522,https://www.jamieoliver.com/recipes/fish-recipes/new-potatoes-trout/,New potatoes & trout,"['jersey royal potato', 'salted butter', 'trout fillet', 'lemon', 'chive']","['Scrub the potatoes, then cook in a pan of boiling salted water for about 15 minutes, or until lovely and tender when pricked with a fork. Drain in a colander and leave to steam dry. Transfer the potatoes to a large bowl and gently crush a few with a fork to add texture. Add the butter and season well with sea salt and black pepper. Flake in half of the smoked trout, add the cider vinegar or grate in the lemon zest and squeeze in half the juice. Toss through. Serve at room temperature, with the remaining trout flaked over and chives snipped on top. Delicious served on its own or with some soft round lettuce.']"
523,https://www.jamieoliver.com/recipes/vegetables-recipes/ultimate-quesadillas/,Ultimate quesadillas,"['cheddar cheese', 'flour tortilla', 'pineapple salsa', 'pineapple ring', 'lime', 'guacamole', 'avocado', 'onion', 'tomato', 'lime', 'dip', 'cheese', 'lime']","['For the salsa, deseed and finely chop the chilli. Chop the pineapple rings and reserve the juice.Add a little oil, the mustard seeds and chilli to a small pan over a medium-high heat. When it’s fragrant, add the pineapple and juice, and a big pinch of black pepper. Cook for 5 minutes, till thick and sticky. Squeeze in the lime juice, then put in a serving bowl. For the guacamole, halve and stone the avocados and finely grate the onion. Deseed and chop the chilli, then roughly chop the tomatoes.Squeeze the avocado flesh into a bowl. Pick in the coriander leaves, add the onion and chilli, then squeeze in the lime juice. Season with sea salt and black pepper, and add the tomatoes, picking out any larger bits of skin. Mix well, with a potato masher or hand blender, and then set aside. For another delicious dip, put the cottage cheese in a bowl, squeeze in the juice of the lime half, and stir through with a pinch of salt and pepper. For the filling, deseed and finely chop the peppers and chilli. Pick the coriander leaves and grate the Cheddar.To assemble, mix the peppers, chilli and coriander with the Cheddar. Scatter across two tortillas, then top with the remaining tortillas. Cook in a non-stick pan for 2 to 3 minutes each side, or till the tortillas are golden and the cheese melts. Cut into quarters and serve with those delicious sides.']"
524,https://www.jamieoliver.com/recipes/pasta-recipes/crab-rigatoni/,Crab rigatoni,"['garlic', 'lemon', 'chopped tomato', 'tomato vine', 'rigatoni', 'undressed crabmeat', 'crabmeat']","['Finely slice the garlic, then peel and finely chop the outer layers of the fennel. Set the leafy tops and inner hearts aside to make a salad later. Place a frying pan over a medium heat and add a good glug of olive oil. Add the chopped fennel and garlic, and cook for 2 to 3 minutes, or until soft. Finely chop the parsley stalks and add to the pan with the chilli flakes, cinnamon and fennel seeds to the pan and fry for 2 to 3 minutes. Finely grate in the zest from your 2 lemons (reserve the lemons) and add the tinned tomatoes. Sit the cherry tomatoes, vines and all, on top to poach. Cover, reduce the heat to low and leave to simmer for 15 minutes. Meanwhile, cook the pasta according to packet instructions. While the pasta and sauce are cooking away, crack on with the salad. Push the reserved fennel hearts and one of the zested lemons through the thinnest slicing attachment on your food processor – or use a knife or a mandolin (always use the guard). Tip into a bowl and season with a good pinch of salt and pepper. Add the reserved fennel tops and gently toss with your fingers. Put aside until you’re ready to serve. Check the tomato sauce – it should look rich and glossy and the tomatoes should be soft and squashy. Carefully pick out and discard the vine, leaving the tomatoes in the pan. Gently stir in the brown crabmeat and let it heat up. Finely chop the parsley leaves.Drain the pasta, reserving a cupful of cooking water, then gently fold it through the ragù with the white crabmeat and the chopped parsley, adding a little of the reserved pasta water to loosen the sauce if needed. Serve the pasta on a lovely big platter with the fennel salad bang on top so you can mix and toss the two together as you serve. Chop the remaining lemon into wedges and serve on the side for squeezing over. The mix of flavours is a knockout!']"
525,https://www.jamieoliver.com/recipes/seafood-recipes/prawn-panzanella/,Prawn panzanella,"['ciabatta', 'tomato', 'onion', 'prawn', 'celery top', 'jalapeno', 'pickled jalapeno', 'wine']","['For your dressing, chop the jalapeños, then combine with the oil and vinegar in a small bowl. Season to taste with sea salt and black pepper. Blacken the whole peppers over a direct flame on the hob, or in a griddle pan on a high heat, until charred and blistered all over. Pop the peppers into a bowl and cover with clingfilm for 10 minutes, then scrape off most of the black skin, discarding the stalks and seeds, and chop.Grill or lightly toast the ciabatta and roughly tear into pieces.Halve the cherry tomatoes and trim and slice the spring onions.Combine the ciabatta, tomatoes, spring onions, prawns, celery tops and peppers in a large bowl. Drizzle with the jalapeño dressing, cover and allow to marinate for 10 minutes before serving.']"
526,https://www.jamieoliver.com/recipes/vegetables-recipes/briam/,Briam,"['aubergine', 'onion', 'garlic', 'potato', 'tomato', 'tomato', 'courgette', 'tomato passata']","['Preheat the oven to 220°C/425°F/gas 7. Halve the aubergine lengthways and thickly slice.Drizzle some olive oil into a frying pan over a medium heat and cook the aubergine in batches for 5 to 7 minutes, or until softened and golden, adding a little more oil, if needed. Using a slotted spoon, transfer to a large bowl. Peel and thinly slice the onion, and peel and slice the garlic. Add the onion and garlic to the empty pan, with a little more oil if necessary, and sauté for 5 minutes, or until softened. Transfer to the bowl with the aubergine. Chop the potatoes into 1cm cubes, thinly slice the medium tomatoes and slice the courgettes.Add the potato, all the tomatoes, the courgette, passata and 200ml water to the bowl. Sprinkle with the oregano, then pick, finely chop and add the parsley. Season generously with sea salt and black pepper. Combine well with your hands and transfer to a large ovenproof dish. Drizzle with any remaining oil. Bake for 30 minutes, then turn the oven down to 200°C/400°F/gas 6. Bake for another 20 to 30 minutes, or until the top has browned and vegetables are tender. Allow to cool slightly before serving.']"
527,https://www.jamieoliver.com/recipes/fish-recipes/pasta-con-le-sarde/,Pasta con le sarde,"['sultana raisin', 'onion', 'including top', 'thread', 'fillet', 'sardine produce butterfly', 'bucatini']","['Soak the sultanas or raisins in warm water to plump up. Peel and thinly slice the onion.Cook the fennel in plenty of boiling, salted water for 8 to 10 minutes, or until tender. Transfer with a slotted spoon to kitchen paper to dry, then roughly chop and place in a bowl, reserving the cooking water. Heat half the oil in a pan over a medium heat and sauté the onion for about 5 minutes, or until softened. Add 500ml of the water used to cook the fennel, as well as the saffron, drained sultanas or raisins and pine nuts and simmer over a low heat for 5 minutes. Meanwhile, sauté the anchovies with the remaining oil in a small pan over a low heat for a few minutes until they disintegrate, then add to the sauce. Add the sardines to the pan and cook for 3 to 4 minutes, then add the fennel. Season generously with sea salt and black pepper and cook for a further 3 to 4 minutes. Meanwhile, cook the pasta in the boiling fennel water until al dente. Drain and serve with the sauce, sprinkling breadcrumbs on top.']"
528,https://www.jamieoliver.com/recipes/eggs-recipes/roasted-chilli-frittata/,Roasted chilli frittata,"['mixture', 'wine', 'butter', 'garlic', 'egg', 'parmesan', 'cheese feta', 'salad']","[""Preheat your oven to full whack. Prick each of your chillies and the pepper (if you're only using 4 chillies, you'll need the pepper to bulk up the filling) with a small, sharp knife, then blacken over a gas flame, in a dry griddle pan or under a grill. Once they’re nicely charred, pop them in a bowl and cover with clingfilm. After 10 minutes, remove the skin, stalks and seeds, then delicately tear lengthways into thin strips. Put these strips back in the bowl and add the red wine vinegar and a lug of olive oil. Pick the parsley leaves and finely chop the stalks. Stir the stalks into the bowl, reserving the leaves for later.Peel and finely chop the garlic. Heat a lug of olive oil and some butter in a small ovenproof frying pan, then add half of your marinated chillies and the garlic. Meanwhile, beat the eggs in a bowl with some grated Parmesan and a good pinch of sea salt and freshly ground black pepper. Put a few of your parsley leaves to one side, then finely chop the rest and add them to the eggs.Pour the eggs into the pan, then crumble in half of the goat’s cheese or feta. Move the pan a bit to spread everything around. When the egg is just starting to set, crumble over most of the remaining goat’s cheese, then pop the frittata in a hot oven for 5 minutes or until it doubles in size.Some people cook their frittatas all the way through, but I prefer mine only just done. Once it’s out of the oven, delicately drape the rest of your chilli over the top, crumble over the last few bits of goat’s cheese or feta, then drizzle over a little of the chilli marinade. Sprinkle with the reserved parsley and serve with something fresh and lovely, like a rocket, lemon and Parmesan salad.""]"
529,https://www.jamieoliver.com/recipes/fish-recipes/mackerel-plaki/,Mackerel plaki,"['sustainably sourced mackerel gutted', 'carrot', 'onion', 'tomato', 'garlic', 'lemon', 'wine']","['Preheat the oven to 180°C/350°F/gas 4. Peel and thinly slice the carrots, then peel and slice the onions. Roughly chop the tomatoes and finely chop the cloves of garlic.Place the fish, carrot, onion, tomato, garlic and bay leaves in a baking dish. Season generously with sea salt and black pepper, then drizzle over the oil. Finely chop the parsley and sprinkle over the fish. Squeeze in the lemon juice and add the wine and a little water.Bake for 30 minutes or until the fish and veg are cooked and the sauce has thickened. Serve lukewarm or cold with an extra squeeze of lemon.']"
530,https://www.jamieoliver.com/recipes/lamb-recipes/lamb-lagoto/,Lamb lagoto,"['garlic', 'boned lamb', 'plum tomato chopped tomato', 'tomato puree', 'lemon']","[""Place the whole unpeeled bulb of garlic into a pan of boiling water over a medium-low heat, then simmer for 15 to 20 minutes, or until softened. When the time's up, remove the garlic, drain on kitchen paper and allow to cool slightly. Squeeze each clove of garlic into a mortar and pound to a rough paste with a pestle. Heat 4 tablespoons of olive oil over a medium heat in a large saucepan and sauté the lamb for 5 to 7 minutes, or until browned on all sides. Meanwhile, peel and roughly chop the tomatoes (if using fresh). Stir the tomatoes into the pan with the tomato purée, oregano, mint and garlic. Season generously with sea salt and black pepper. Add enough water to just cover the stew and simmer for 1 hour 30 minutes to 2 hours, or until the lamb is tender and sauce has thickened. During the last 15 minutes, squeeze in and stir through the lemon juice. Delicious served with chips.""]"
531,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-tikka-masala/,Chicken tikka masala,"['chicken breast', 'onion', 'vegetable', 'plum tomato', 'coconut milk', 'flaked', 'yogurt', 'lemon', 'tikka masala paste', 'garlic', 'masala', 'tomato puree', 'desiccated coconut']","['To make the curry paste, halve, deseed and roughly chop the chilli(es), then peel the garlic and ginger. Place a frying pan over a medium-high heat and scatter in the cumin and coriander seeds. Lightly toast for a few minutes, or until golden brown and smelling delicious, then remove from the heat. Add the toasted spices to a pestle and mortar and grind until fine, or whiz to a powder in a food processor. Once ground, add the toasted spices to a food processor along with the remaining paste ingredient and ½ teaspoon of sea salt, then whiz to a smooth paste. Put aside.Slice the chicken lengthways into 2cm strips. On a clean chopping board, peel, halve and finely slice the onions. Peel and finely slice the ginger, then pick the coriander leaves and put to one side, finely chopping the stalks along with the chilli.Heat 2 tablespoons of oil in a large casserole pan over a medium-high heat, add the onions, chilli, ginger and coriander stalks, then cook for around 10 minutes, or until softened and lightly golden.  Add the chicken and 140g of the tikka masala paste, stirring well so everything is nicely coated. Season with salt and black pepper, add the tomatoes, breaking them up with the back of a spoon, and the coconut milk, then bring to the boil.Turn the heat down to medium-low, cover and simmer for 20 minutes, then remove the lid and cook for a further 5 minutes, or until the meat is tender and the sauce has reduced, stirring occasionally. Divide the curry between bowls, sprinkle over the almonds and coriander leaves. Add a dollop of yoghurt and a wedge of lemon to each bowl.  Delicious served with fluffy rice.']"
532,https://www.jamieoliver.com/recipes/eggs-recipes/gluten-free-quiche/,Gluten-free quiche,"['butter greasing', 'gluten flour', 'bacon', 'garlic', 'leek', 'spinach', 'cheddar cheese', 'egg', 'creme fraiche']","['Preheat the oven to 180ºC/350ºF/gas 4. Grease a 22cm loose-bottomed tart tin with a little butter, then set side.Sieve the flour into a large bowl, then rub in the butter with the tips of your fingers until the mixture resembles breadcrumbs. Add 6 tablespoons of cold water, stirring with a knife until it forms a rough dough. Use your hands to bring it together into a ball, then wrap in cling film and pop in the fridge for around 30 minutes to rest.Meanwhile, make the filling. Finely slice the bacon, garlic and leeks. Add the bacon and garlic to a large pan with a splash of olive oil over a medium heat. Pick in the thyme leaves and cook for around 2 minutes, or until lightly golden, stirring occasionally. Stir in the leeks, turn the heat down to medium–low and cover. Cook for a further 20 minutes, or until softened, adding the spinach for the final minute to wilt. Tip the veg and bacon mixture into a large jug. Grate and add the Cheddar, then add the eggs, crème fraîche and a pinch of salt and pepper. Stir well, then set aside.On a flour-dusted surface, roll out the dough to roughly ½cm thick. Carefully place into the tart tin and push it into the sides (don’t worry if it breaks – patch up any holes with spare pastry). Trim and discard the excess. Place a double layer of clingfilm on top and fill the tin with baking beans or uncooked rice. Place the tin on a baking tray, then pop in the hot oven for 10 to 12 minutes, or until lightly golden. Remove the beans and clingfilm, then return to the oven for a further 8 to 10 minutes, or until golden.Pour the filling into the baked pastry case, then return to the oven for 10 to 15 minutes, or until the filling is almost set. Leave to cool slightly, then carefully remove the tart tin and serve alongside a crisp, green salad.']"
